Event Id | Investigation Type | Accident Number | Event Date | Location | Country | Latitude | Longitude | Airport Code | Airport Name | Injury Severity | Aircraft Damage | Aircraft Category | Registration Number | Make | Model | Amateur Built | Number of Engines | Engine Type | FAR Description | Schedule | Purpose of Flight | Air Carrier | Total Fatal Injuries | Total Serious Injuries | Total Minor Injuries | Total Uninjured | Weather Condition | Broad Phase of Flight | Report Status | Publication Date | 
20150827X40252 | Accident | CEN15LA384 | 08/26/2015 | Pine Bluff, AR | United States | 34.198889 | -92.003611 |  | N/A | Non-Fatal | Substantial | Airplane | N3026R | AIR TRACTOR INC | AT 602 | No |  |  | Part 137: Agricultural |  | Aerial Application |  |  | 1 |  |  | VMC | MANEUVERING | Preliminary | 08/27/2015 | 
20150902X31454 | Accident | GAA15CA245 | 08/25/2015 | Orlando, FL | United States |  |  |  |  |  |  |  | N613GA | RAYTHEON AIRCRAFT COMPANY | B200 |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150826X93114 | Accident | CEN15LA382 | 08/25/2015 | Tyler, MN | United States | 44.291666 | -96.150278 | 63Y | Tyler Municipal Airport | Non-Fatal | Substantial | Airplane | N2805Z | PIPER | PA 22-160 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  | 2 | 1 |  | VMC | TAKEOFF | Preliminary | 08/27/2015 | 
20150825X45052 | Accident | CEN15LA379 | 08/25/2015 | Ketchum, OK | United States |  |  | 1K8 | South Grand Lake Regional | Non-Fatal | Substantial | Helicopter | N444KD | ROBINSON HELICOPTER COMPANY | R44 II | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 1 |  | VMC |  | Preliminary | 08/28/2015 | 
20150826X20322 | Accident | GAA15CA236 | 08/24/2015 | Pineville, LA | United States |  |  |  |  |  |  |  | N759TZ | CESSNA | 182Q |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150824X75351 | Accident | WPR15LA249 | 08/23/2015 | Mesa, AZ | United States | 33.460833 | -111.728334 | FFZ | FALCON FLD | Non-Fatal | Substantial | Helicopter | N315TV | SCHWEIZER | 269C - UNDESIGNAT | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 1 | 1 | VMC | APPROACH | Preliminary | 08/31/2015 | 
20150826X64508 | Accident | GAA15CA237 | 08/23/2015 | Springfield, OH | United States |  |  |  |  |  |  |  | N691SP | CESSNA | 172S |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150825X61602 | Accident | CEN15WA380 | 08/23/2015 | Lac Long, Canada | Canada |  |  |  |  | Fatal(6) |  | Airplane |  | DEHAVILLAND | DHC-2 MK. I | No | 1 | Reciprocating |  |  |  |  | 6 |  |  |  |  | UNKNOWN | Foreign |  | 
20150825X33311 | Accident | CEN15LA381 | 08/23/2015 | Pontiac, MI | United States |  |  | PTK | Oakland County International | Non-Fatal | Substantial | Unknown | N1406K | LUSCOMBE | 8 | No |  |  | Part 91: General Aviation |  | Personal |  |  |  |  | 2 | VMC | GO-AROUND | Preliminary | 08/26/2015 | 
20150824X25041 | Accident | CEN15LA376 | 08/23/2015 | Hempstead, TX | United States | 30.111944 | -96.038055 |  | N/A | Fatal(1) | Substantial | Glider | N878S | SCHLEICHER | ASW 20 | No | 0 |  | Part 91: General Aviation |  | Personal |  | 1 |  |  |  | VMC | CRUISE | Preliminary | 08/26/2015 | 
20150823X51533 | Accident | CEN15FA374 | 08/23/2015 | El Dorado, AR | United States |  |  | ELD | South Arkansas Regional | Fatal(1) | Destroyed | Airplane | N9704Y | BEECH | 35 B33 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 1 |  |  |  | VMC | APPROACH | Preliminary | 08/26/2015 | 
20150824X42658 | Accident | ANC15FA066 | 08/22/2015 | Kasilof, AK | United States | 60.305556 | -151.379167 | 5KS | KASILOF | Fatal(2) | Substantial | Airplane | N3043E | CESSNA | 180 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 2 |  |  |  | VMC | MANEUVERING | Preliminary | 08/25/2015 | 
20150824X30257 | Accident | ANC15CA065 | 08/22/2015 | HOMER, AK | United States |  |  |  |  |  |  |  | N9588B | CESSNA | 180A |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150910X72335 | Accident | GAA15CA254 | 08/21/2015 | LaBelle, FL | United States |  |  |  |  |  |  |  | N18LP | PIPER | PA 18-150 |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150824X93135 | Accident | ERA15LA322 | 08/21/2015 | Danbury, CT | United States | 41.368334 | -73.491944 | DXR | DANBURY MUNI | Non-Fatal | Substantial | Airplane | N120EA | ECLIPSE AVIATION CORP | EA500 | No | 2 | Turbo Fan | Part 91: General Aviation |  | Personal |  |  |  | 3 |  | VMC | LANDING | Preliminary | 09/10/2015 | 
20150903X93747 | Accident | GAA15CA249 | 08/20/2015 | Tucson, AZ | United States |  |  |  |  |  |  |  | N944LB | STINSON | L 5E |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150826X45558 | Accident | CEN15LA383 | 08/20/2015 | Harvey, ND | United States | 47.787500 | -99.936111 |  | N/A | Non-Fatal | Substantial | Airplane | N4652Y | PIPER | PA 25-235 | No | 1 | Reciprocating | Part 137: Agricultural |  | Aerial Application |  |  |  |  | 1 |  | CRUISE | Preliminary | 09/03/2015 | 
20150820X74555 | Accident | WPR15LA248 | 08/19/2015 | Ironside, OR | United States | 44.338611 | -118.111667 |  | N/A | Non-Fatal | Substantial | Helicopter | N1043T | SIKORSKY | S 61A | No | 2 | Turbo Shaft | Part 133: Rotorcraft Ext. Load |  | Fire Fighting |  |  |  | 1 | 1 | VMC | MANEUVERING | Preliminary | 09/03/2015 | 
20150820X12626 | Accident | WPR15FA247 | 08/19/2015 | Helena, MT | United States | 46.655278 | -111.558611 |  | N/A | Fatal(2) | Substantial | Airplane | N62731 | CESSNA | 172P | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 2 |  |  |  | VMC | CLIMB | Preliminary | 08/28/2015 | 
20150824X12045 | Accident | GAA15CA235 | 08/19/2015 | Kalispell, MT | United States |  |  |  |  |  |  |  | N733NH | CESSNA | 172N |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150818X63732 | Accident | WPR15LA245 | 08/18/2015 | Las Vegas, NV | United States | 36.285833 | -115.338333 |  | N/A | Non-Fatal | Substantial | Helicopter | N17YS | SCHWEIZER | 269C | No |  | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  | 1 | 1 | VMC | MANEUVERING | Preliminary | 09/10/2015 | 
20150827X20826 | Accident | GAA15CA238 | 08/18/2015 | Ronkonkoma, NY | United States |  |  |  |  |  |  |  | N86EH | ROBINSON HELICOPTER | R22 BETA |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150819X82129 | Accident | GAA15CA233 | 08/18/2015 | Prescott, AZ | United States |  |  |  |  |  |  |  | N5VH | ROBINSON HELICOPTER COMPANY | R22 |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150820X20604 | Accident | CEN15LA370 | 08/18/2015 | Cresco, IA | United States | 43.365278 | -92.133056 |  | N/A | Non-Fatal | Substantial | Helicopter | N5743W | BELL | 206B | No | 1 | Turbo Shaft | Part 137: Agricultural |  | Aerial Application |  |  |  |  | 1 | VMC | MANEUVERING | Preliminary | 08/20/2015 | 
20150819X94949 | Accident | CEN15LA367 | 08/18/2015 | Wiville, AR | United States | 35.163611 | -91.223611 |  | N/A | Unavailable | Destroyed | Airplane | N3070R | AIR TRACTOR INC | AT-802A | No |  |  | Part 137: Agricultural |  | Aerial Application |  |  |  |  |  | VMC | MANEUVERING | Preliminary | 08/19/2015 | 
20150818X00406 | Incident | WPR15IA244 | 08/17/2015 | Page, AZ | United States | 37.024445 | 111.630834 |  | N/A | Incident | Minor | Airplane | N771RT | QUEST | KODIAC 100 | No | 1 | Turbo Prop | Part 135: Air Taxi & Commuter | NSCH |  | Arrow West Aviation (DBA: Redtail AViation) |  |  |  | 6 | VMC | TAKEOFF | Preliminary | 08/31/2015 | 
20150819X23543 | Accident | GAA15CA230 | 08/17/2015 | Whittier, CA | United States |  |  |  |  |  |  |  | N412LA | BELL | 412 |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150817X00729 | Accident | ERA15LA318 | 08/17/2015 | Chiefland, FL | United States | 29.436389 | -82.945555 |  | N/A | Non-Fatal | Substantial | Airplane | N84308 | CESSNA | 172K | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 3 | VMC |  | Preliminary | 08/21/2015 | 
20150817X20533 | Accident | CEN15FA362 | 08/17/2015 | McAllen, TX | United States | 26.164444 | -98.232500 | MFE | MCALLEN MILLER INTL | Fatal(2) | Destroyed | Airplane | N26ZA | ZENAIR LTD | CH 2000 | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  | 2 |  |  |  | VMC | TAKEOFF | Preliminary | 08/20/2015 | 
20150816X60452 | Accident | WPR15FA243B | 08/16/2015 | San Diego, CA | United States | 32.578611 | -116.957778 | SDM | BROWN FIELD MUNI | Fatal(5) | Substantial | Airplane | N442RM | NORTH AMERICAN ROCKWELL | NA265-60SC | No | 2 | Turbo Jet | Part 91: General Aviation |  | Other Work Use |  | 5 |  |  |  | VMC | APPROACH | Preliminary | 08/26/2015 | 
20150816X60452 | Accident | WPR15FA243A | 08/16/2015 | San Diego, CA | United States | 32.578611 | -116.957778 | SDM | BROWN FIELD MUNI | Fatal(5) | Destroyed | Airplane | N1285U | CESSNA | 172M | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 5 |  |  |  | VMC | APPROACH | Preliminary | 08/26/2015 | 
20150819X72333 | Accident | GAA15CA232 | 08/16/2015 | Fentress, TX | United States |  |  |  |  |  |  |  | N804DF | ROBINSON HELICOPTER COMPANY | R44 II |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150819X63550 | Accident | GAA15CA231 | 08/16/2015 | Ione, OR | United States | 45.330278 | -119.779723 | NONE | JEPSEN FARM AIRSTRIP | Non-Fatal | Substantial | Airplane | N28RR | CESSNA | 180H | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 2 | 1 | VMC | LANDING | Factual | 09/09/2015 | 
20150816X35140 | Accident | ERA15LA315 | 08/16/2015 | Bristow, VA | United States | 38.743889 | -77.549166 | HEF | MANASSAS RGNL/HARRY P DAVIS FI | Non-Fatal | Substantial | Airplane | N82587 | PIPER | PA 28-161 | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  | 1 |  |  | VMC | APPROACH | Preliminary | 08/28/2015 | 
20150816X95657 | Accident | ERA15FA313 | 08/16/2015 | Hicksville, NY | United States | 40.754722 | -73.501111 |  | N/A | Fatal(1) | Destroyed | Airplane | N5946C | BEECH | C35 | No | 1 | Reciprocating | Part 135: Air Taxi & Commuter | NSCH |  | MILO JOSEPH | 1 | 1 |  |  | VMC |  | Preliminary | 08/21/2015 | 
20150821X04423 | Accident | CEN15WA372 | 08/16/2015 | Margaree, Canada | Canada | 46.340833 | -60.980556 |  |  | Non-Fatal | Substantial | Airplane |  | BEECH | A100 |  | 2 | Turbo Prop |  |  |  |  |  |  |  | 4 |  | LANDING | Foreign |  | 
20150818X35324 | Accident | CEN15WA364 | 08/16/2015 | Chateauneuf Sur Cher, France | France |  |  |  |  | Non-Fatal | Destroyed | Airplane | N88MX | MX AIRCRAFT LLC | MX2 |  | 1 | Reciprocating |  |  |  |  |  |  | 1 |  |  |  | Foreign |  | 
20150818X51118 | Incident | CEN15IA365 | 08/16/2015 | Mount Vernon, OH | United States | 40.328889 | -82.526389 | 4I3 | KNOX COUNTY | Incident |  | Airplane | N2059W | BEECH | V35 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 2 | VMC |  | Preliminary | 08/26/2015 | 
20150820X53149 | Accident | GAA15CA234 | 08/15/2015 | Wolcottville, IN | United States |  |  |  |  |  |  |  | N683DB | BURTON DENNIS W | SONEX |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150818X64418 | Accident | GAA15CA229 | 08/15/2015 | Augusta, KY | United States |  |  |  |  |  |  |  | N831CM | MCKINNEY CHARLES R | SEAREY |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150818X05411 | Accident | ERA15LA319 | 08/15/2015 | New Holland, PA | United States | 40.125556 | -76.105833 |  | N/A | Non-Fatal | Substantial | Balloon | N40104 | HEAD | AX9 118 | No |  |  | Part 91: General Aviation |  | Other Work Use |  |  | 2 | 1 |  | VMC |  | Preliminary | 09/01/2015 | 
20150815X21004 | Accident | ERA15FA312 | 08/15/2015 | West Caldwell, NJ | United States | 40.863611 | -74.283056 | CDW | Essex County | Fatal(1) | Substantial | Airplane | N63TV | CESSNA | T206H | No | 1 | Reciprocating | Part 91: General Aviation |  | Positioning |  | 1 |  |  |  | VMC | STANDING | Preliminary | 08/26/2015 | 
20150818X10401 | Accident | ERA15CA320 | 08/15/2015 | Bladenboro, NC | United States | 34.542777 | -78.778056 | 3W6 | Bladenboro Airport | Non-Fatal | Substantial | Airplane | N629HS | SANDERSON HERBERT H | SHA GLASAIR | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 2 |  | VMC | TAKEOFF | Factual | 08/19/2015 | 
20150818X14949 | Accident | DCA15LA173 | 08/15/2015 | Charlotte, NC | United States | 35.213611 | -80.949166 | CLT | CHARLOTTE/DOUGLAS INTL | Non-Fatal | Substantial | Airplane | N564UW | AIRBUS | A321 | No | 2 | Turbo Fan | Part 121: Air Carrier | SCHD |  | US Airways |  |  |  | 159 | VMC | APPROACH | Preliminary | 08/21/2015 | 
20150820X14230 | Accident | CEN15LA371 | 08/15/2015 | Venice, LA | United States | 29.384722 | -89.395000 | NONE | Port Eads | Non-Fatal | Substantial | Airplane | N1805Y | CESSNA | 172C | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 3 |  |  | LANDING | Preliminary | 08/25/2015 | 
20150817X02422 | Accident | ANC15CA064 | 08/15/2015 | Coldfoot, AK | United States |  |  |  |  |  |  |  | N8556E | CHAMPION | 7HC |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150814X04638 | Accident | WPR15LA240 | 08/14/2015 | Chula Vista, CA | United States | 32.613333 | -116.959167 | SDM | BROWN FIELD MUNI | Non-Fatal | Substantial | Airplane | N17154 | STINSON | SR 9B | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 1 |  | VMC | MANEUVERING | Preliminary | 08/26/2015 | 
20150818X61316 | Accident | GAA15CA228 | 08/14/2015 | Danbury, CT | United States |  |  |  |  |  |  |  | N8922M | CESSNA | 337F |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150817X61230 | Accident | ERA15WA316 | 08/14/2015 | Limpio, Paraguay | Paraguay | -25.162500 | -57.458056 |  | N/A | Fatal(1) | Destroyed | Helicopter |  | ROBINSON | R44 - II | No |  |  | Non-U.S., Non-Commercial |  | Other Work Use |  | 1 | 2 |  |  | IMC | CRUISE | Foreign |  | 
20150814X40417 | Accident | ERA15LA311 | 08/14/2015 | Allentown, PA | United States | 40.570278 | -75.488333 | XLL | ALLENTOWN QUEEN CITY MUNI | Non-Fatal | Substantial | Airplane | N1750Z | THOMAS A SIMINSKI | ZENITH CH 750 | Yes |  |  | Part 91: General Aviation |  | Personal |  |  | 1 |  |  | VMC | TAKEOFF | Preliminary | 08/24/2015 | 
20150817X61459 | Accident | CEN15LA360 | 08/14/2015 | Las Cruces, NM | United States | 32.278056 | -106.905556 | LRU | LAS CRUCES INTL | Fatal(1) | Substantial | Airplane | N14124 | NORTH AMERICAN | T 28A | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 1 | 1 |  |  | VMC | LANDING | Preliminary | 08/25/2015 | 
20150814X91539 | Accident | WPR15LA242 | 08/13/2015 |  | United States | 37.433334 | -130.833334 |  | N/A | Fatal(1) | Destroyed | Airplane | N427LE | BARTELS | LANCAIR EVOLUTION | Yes | 1 | Turbo Prop | Part 91: General Aviation |  | Personal |  | 1 |  |  |  | VMC | CLIMB | Preliminary | 08/26/2015 | 
20150814X43648 | Accident | WPR15FA241 | 08/13/2015 | Oroville, WA | United States | 48.929167 | -119.286389 | 0S7 | DOROTHY SCOTT | Fatal(2) | Destroyed | Airplane | N6289Z | CESSNA | T182T | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 2 |  |  |  |  | CLIMB | Preliminary | 08/17/2015 | 
20150817X35859 | Accident | GAA15CA224 | 08/13/2015 | Caldwell, ID | United States |  |  |  |  |  |  |  | N3103Q | ROBINSON HELICOPTER | R22 BETA |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150816X31900 | Accident | ERA15LA314 | 08/13/2015 | Trenton, NC | United States | 35.057500 | -77.463333 | PVT |  | Non-Fatal | Substantial | Airplane | N5277 | GRUMMAN | G 164A | No | 1 | Reciprocating | Part 137: Agricultural |  | Aerial Application |  |  |  |  | 1 | VMC | LANDING | Preliminary | 08/21/2015 | 
20150813X90826 | Accident | ERA15WA310 | 08/12/2015 | Saba, Netherlands Antilles | Netherlands Antilles | 17.592500 | -63.259722 |  | N/A | Non-Fatal | Substantial | Airplane | N924FE | CESSNA | 208B | No | 1 | Turbo Prop |  |  |  |  |  |  | 1 |  |  |  | Foreign |  | 
